Long,Lat,type,name
-71.2179923,42.0281487,restaurant,Trattoria Della Nonna
-71.2179145,42.0284615,restaurant,Mansfield House of Pizza
-71.2180567,42.0295652,restaurant,Gourmet Pizza
-71.2183276,42.0299956,restaurant,Cheng-Du
-71.2188318,42.0316133,restaurant,Looking Glass Cafe
-71.0654473,42.4560689,restaurant,Sushi Corner
-71.0646266,42.2860989,restaurant,Ashmont Grill
-71.0646286,42.2838236,restaurant,Tavolo
-71.3061377,42.1869228,restaurant,Go Fresh
-71.3078986,42.1894528,restaurant,Takara's
-71.3058038,42.1872369,restaurant,Zebra's Bistro Restaurant
-71.0688908,42.4590127,restaurant,Alfredo's Italian Kitchen
-71.0535524,42.3640061,restaurant,Gennaro's
-71.0430745,42.3464386,restaurant,M.J. O'Connor's
-71.0955967,42.3474108,restaurant,House of Blues
-72.6339682,42.3313909,restaurant,Sakura
-71.1013224,42.3637705,restaurant,The Middle East Upstairs
-71.0767994,42.4234796,restaurant,Pisa Pizza
-71.0802443,42.4229774,restaurant,Di Pietro's Pizzeria
-71.080076,42.422015,restaurant,Real Lucky
-71.0682055,42.3609909,restaurant,Antonio's Cucina Italiana
-71.0679602,42.3609889,restaurant,Ma Maison
-71.0804084,42.4220449,restaurant,China Garden
-71.0801861,42.4207458,restaurant,Papas Bar & Grille Restaurant
-71.0800526,42.4194046,restaurant,El Potro Mexican Bar & Grill
-71.080039,42.418832,restaurant,Spadafora Slush & Ice Cream
-71.2707962,42.6468435,restaurant,Chopsticks Express
-71.7885793,42.2320569,restaurant,Olive Garden
-71.0924347,42.3631405,restaurant,Area Four
-71.0972819,42.3633701,restaurant,Bertucci's
-71.0688361,42.4519912,restaurant,Brazilian Finest
-71.1445527,42.7045835,restaurant,Salvatore's Function Facility
-71.1456074,42.7044624,restaurant,Salvatore's
-72.6418862,42.1736035,restaurant,Red Robin
-72.6311523,42.2047621,restaurant,Golden Chopsticks
-72.6521622,42.2376253,restaurant,Tavern on the Hill
-72.66784,42.2650205,restaurant,Mt. Tom's Homemade Ice Cream & Candy Store
-71.658378,42.3080152,restaurant,Bistro Limoncello
-71.6585118,42.3064454,restaurant,Romaine's
-71.6585262,42.3079329,restaurant,mikaku
-71.5511755,42.4032868,restaurant,Brother's Pizza
-71.4457872,42.3606186,restaurant,Acapulcos Mexican Restaurant
-73.2280989,42.5161129,restaurant,Bob's Country Kitchen
-71.1338338,42.383587,restaurant,House of Chang
-71.3549207,42.596295,restaurant,Bertucci's
-71.0697571,42.4522712,restaurant,Lisa's Family Pizzeria
-71.0701083,42.4523798,restaurant,Melrose Garden
-71.0700302,42.4523557,restaurant,Theo's Pizzeria Restaurant
-71.0878363,42.3627052,restaurant,Legal Sea Foods
-71.3314115,42.6130014,restaurant,Sal'sPizza
-71.3467752,42.6022542,restaurant,Jimmy's Pizza
-71.0916056,42.3630787,restaurant,Catalyst
-71.085623,42.3365682,restaurant,Bangkok Pinto
-71.0854956,42.3366376,restaurant,Ali's Roti
-71.0873096,42.3411552,restaurant,Boston House of Pizza
-71.0876745,42.3410018,restaurant,Boston Shawarma
-71.0851649,42.3423124,restaurant,Ginger Exchange Symphony
-71.0844232,42.3428417,restaurant,Red Mango
-71.164897,42.4176868,restaurant,Blue Ribbon Barbecue
-71.1360771,42.4522268,restaurant,China Sky
-71.4279861,42.2554846,restaurant,Nick's Clam Shack
-71.4257571,42.257846,restaurant,Ashland Ale House
-71.4323661,42.2418991,restaurant,Los Cabos
-70.0223571,41.7069226,restaurant,400 East
-70.0159037,41.700082,restaurant,The Corner Store
-71.2265452,42.4473473,restaurant,Nourish
-71.2287619,42.4475183,restaurant,Dabin
-71.0570881,42.3288045,restaurant,Cafe Polonia
-71.1190435,42.3889292,restaurant,Emack & Bolio's Ice Cream
-71.4691576,42.3574427,restaurant,Wayside Inn Dining Room
-71.052889,42.3573743,restaurant,Nix's Mate
-71.1706966,42.3349615,restaurant,Welch Dining Room (The Rat)
-71.0945595,42.3797498,restaurant,Bronwyn
-73.1126046,42.6993467,restaurant,The Hub
-70.6023073,41.7502959,restaurant,Mezza Luna
-70.1871798,42.0509074,restaurant,Tin Pan Alley
-70.9022641,42.1608904,restaurant,Bamboo House
-71.0973712,42.3814723,restaurant,Neighborhood Restaurant
